OBJECTID;NUTS_2;NUTS_3;APS_KODAS;APS_PAV;APS_PLOTAS;APS_PLATUM;APS_ILGUMA
1;LT02;LT021;1;Alytaus apskr.;541780;54,22177823;24,12528211
2;LT01;LT011;10;Vilniaus apskr.;972981;54,82285900;25,23435777
3;LT02;LT022;2;Kauno apskr.;808630;55,07639612;23,88388569
4;LT02;LT023;3;Klaipėdos apskr.;522185;55,72679811;21,47935631
5;LT02;LT024;4;Marijampolės apskr.;446541;54,70484979;23,17144238
6;LT02;LT025;5;Panevėžio apskr.;787827;55,91771423;24,80281173
7;LT02;LT026;6;Šiaulių apskr.;853727;55,93876240;23,30810397
8;LT02;LT027;7;Tauragės apskr.;440828;55,30066562;22,44805473
9;LT02;LT028;8;Telšių apskr.;434927;56,00152548;22,16478653
10;LT02;LT029;9;Utenos apskr.;719137;55,47891103;25,69941287
